000000000000,0000011111010000
000000000001,0000000000000101
000000000010,0000000000000000
000000000011,0000000000000000
000000000100,0000000000000000
000000000101,0000000000000000
000000000110,1010010001001100
000000000111,0011010001000000
000000001000,0000000000000000
000000001001,0000000000000000
000000001010,0000000000000000
000000001011,0000000000000000
000000001100,0000000100101000
000000001101,0000000011111010
000000001110,0000001110000100
000000001111,0000000000000000
000000010000,0000000011011001
000000010001,0000000000100000
000000010010,0000000010110111
000000010011,0000000010001110
000000010100,0000000000000000
000000010101,0000000000000000
000000010110,0000000001100000
000000010111,0000000000000000
000000011000,0000011111010000
000000011001,0000000000000001
000000011010,0000000000000001
000000011011,0000000001000000
000000011100,0000000000000000
000000011101,0000000000101000
000000011110,0000000000000000
000000011111,0000001111101000
000000100000,0000010000001000
000000100001,0001100000000001
000000100010,0000100000001000
000000100011,0000110000001001
000000100100,0001000000001000
000000100101,0000100000000111
000000100110,1010010010000111
000000100111,0000101110000000
000000101000,1111010000000010
000000101001,0000110100001010
000000101010,0101100001000000
000000101011,1010010001011101
000000101100,0011001101001111
000000101101,0000010100011111
000000101110,0001000100011110
000000101111,0000100100000111
000000110000,1010010001000111
000000110001,0000100001000000
000000110010,0000010100011110
000000110011,0001100100000001
000000110100,0000100100011110
000000110101,1010010001011101
000000110110,0011010001000000
000000110111,0000110000001001
000000111000,0001000000001000
000000111001,0000100000000111
000000111010,1010010010000111
000000111011,0000011110000000
000000111100,0000010000001000
000000111101,0001110000000001
000000111110,0000100000001000
000000111111,0011110000000000
000001000000,0000010000001000
000001000001,0001100000000001
000001000010,0000100000001000
000001000011,0000110000001001
000001000100,0001000000001000
000001000101,0000100000000111
000001000110,1010010010000111
000001000111,0000101110000000
000001001000,0000011000011100
000001001001,0000010100011110
000001001010,0101100110000000
000001001011,1010010001011011
000001001100,0011001101010111
000001001101,0001001000011111
000001001110,0000101000000111
000001001111,1010010001000111
000001010000,0000011001000000
000001010001,1111101000000001
000001010010,0000011000011100
000001010011,0001101000000001
000001010100,0000101000011100
000001010101,1010010001011011
000001010110,0011010001001000
000001010111,0000110000001001
000001011000,0001000000001000
000001011001,0000100000000111
000001011010,1010010010000111
000001011011,0000011110000000
000001011100,0000010000001000
000001011101,0001110000000001
000001011110,0000100000001000
000001011111,0011110000000000
000001100000,0000010000001000
000001100001,0001100000000001
000001100010,0000100000001000
000001100011,0000110000001001
000001100100,0001000000001000
000001100101,0000100000000111
000001100110,1010010010000111
000001100111,0000101110000000
000001101000,1111010000000000
000001101001,0000110100001010
